14:56:33.681 [ApplicationImpl pooled thread 9] INFO  com.browserstack.utils.Helpers - /Users/adrianpricopie/.m2/repository/com/browserstack/browserstack-java-sdk/1.13.24/browserstack-java-sdk-1.13.24.jar
14:56:33.681 [ApplicationImpl pooled thread 9] INFO  c.b.l.BrowserStackRunExtension - Agent path: /Users/adrianpricopie/.m2/repository/com/browserstack/browserstack-java-sdk/1.13.24/browserstack-java-sdk-1.13.24.jar
14:56:33.681 [ApplicationImpl pooled thread 9] INFO  c.b.l.BrowserStackRunExtension - Plugin version: v1.1.4
15:03:08.476 [ApplicationImpl pooled thread 17] INFO  c.b.l.BrowserStackRunExtension - testng
15:03:08.476 [ApplicationImpl pooled thread 17] INFO  com.browserstack.utils.Helpers - true
15:03:08.477 [ApplicationImpl pooled thread 17] INFO  com.browserstack.utils.Helpers - /Users/adrianpricopie/.m2/repository/com/browserstack/browserstack-java-sdk/1.13.24/browserstack-java-sdk-1.13.24.jar
15:03:08.477 [ApplicationImpl pooled thread 17] INFO  c.b.l.BrowserStackRunExtension - Agent path: /Users/adrianpricopie/.m2/repository/com/browserstack/browserstack-java-sdk/1.13.24/browserstack-java-sdk-1.13.24.jar
15:03:08.477 [ApplicationImpl pooled thread 17] INFO  c.b.l.BrowserStackRunExtension - Plugin version: v1.1.4
15:06:13.473 [ApplicationImpl pooled thread 19] INFO  c.b.l.BrowserStackRunExtension - testng
15:06:13.473 [ApplicationImpl pooled thread 19] INFO  com.browserstack.utils.Helpers - true
15:06:13.473 [ApplicationImpl pooled thread 19] INFO  com.browserstack.utils.Helpers - /Users/adrianpricopie/.m2/repository/com/browserstack/browserstack-java-sdk/1.13.24/browserstack-java-sdk-1.13.24.jar
15:06:13.473 [ApplicationImpl pooled thread 19] INFO  c.b.l.BrowserStackRunExtension - Agent path: /Users/adrianpricopie/.m2/repository/com/browserstack/browserstack-java-sdk/1.13.24/browserstack-java-sdk-1.13.24.jar
15:06:13.473 [ApplicationImpl pooled thread 19] INFO  c.b.l.BrowserStackRunExtension - Plugin version: v1.1.4
21:54:14.505 [ApplicationImpl pooled thread 75] INFO  c.b.l.BrowserStackRunExtension - testng
21:54:14.505 [ApplicationImpl pooled thread 75] INFO  com.browserstack.utils.Helpers - true
21:54:14.505 [ApplicationImpl pooled thread 75] INFO  com.browserstack.utils.Helpers - /Users/adrianpricopie/.m2/repository/com/browserstack/browserstack-java-sdk/1.13.24/browserstack-java-sdk-1.13.24.jar
21:54:14.505 [ApplicationImpl pooled thread 75] INFO  c.b.l.BrowserStackRunExtension - Agent path: /Users/adrianpricopie/.m2/repository/com/browserstack/browserstack-java-sdk/1.13.24/browserstack-java-sdk-1.13.24.jar
21:54:14.505 [ApplicationImpl pooled thread 75] INFO  c.b.l.BrowserStackRunExtension - Plugin version: v1.1.4
21:56:21.365 [ApplicationImpl pooled thread 75] INFO  c.b.l.BrowserStackRunExtension - testng
21:56:21.365 [ApplicationImpl pooled thread 75] INFO  com.browserstack.utils.Helpers - true
21:56:21.366 [ApplicationImpl pooled thread 75] INFO  com.browserstack.utils.Helpers - /Users/adrianpricopie/.m2/repository/com/browserstack/browserstack-java-sdk/1.13.24/browserstack-java-sdk-1.13.24.jar
21:56:21.366 [ApplicationImpl pooled thread 75] INFO  c.b.l.BrowserStackRunExtension - Agent path: /Users/adrianpricopie/.m2/repository/com/browserstack/browserstack-java-sdk/1.13.24/browserstack-java-sdk-1.13.24.jar
21:56:21.366 [ApplicationImpl pooled thread 75] INFO  c.b.l.BrowserStackRunExtension - Plugin version: v1.1.4
11:20:23.924 [ApplicationImpl pooled thread 4] INFO  c.b.l.BrowserStackRunExtension - testng
11:20:23.925 [ApplicationImpl pooled thread 4] INFO  com.browserstack.utils.Helpers - true
11:20:23.926 [ApplicationImpl pooled thread 4] INFO  com.browserstack.utils.Helpers - /Users/adrianpricopie/.m2/repository/com/browserstack/browserstack-java-sdk/1.13.24/browserstack-java-sdk-1.13.24.jar
11:20:23.926 [ApplicationImpl pooled thread 4] INFO  c.b.l.BrowserStackRunExtension - Agent path: /Users/adrianpricopie/.m2/repository/com/browserstack/browserstack-java-sdk/1.13.24/browserstack-java-sdk-1.13.24.jar
11:20:23.926 [ApplicationImpl pooled thread 4] INFO  c.b.l.BrowserStackRunExtension - Plugin version: v1.1.4
11:36:33.014 [ApplicationImpl pooled thread 19] INFO  c.b.l.BrowserStackRunExtension - testng
11:36:33.014 [ApplicationImpl pooled thread 19] INFO  com.browserstack.utils.Helpers - true
11:36:33.015 [ApplicationImpl pooled thread 19] INFO  com.browserstack.utils.Helpers - /Users/adrianpricopie/.m2/repository/com/browserstack/browserstack-java-sdk/1.13.24/browserstack-java-sdk-1.13.24.jar
11:36:33.015 [ApplicationImpl pooled thread 19] INFO  c.b.l.BrowserStackRunExtension - Agent path: /Users/adrianpricopie/.m2/repository/com/browserstack/browserstack-java-sdk/1.13.24/browserstack-java-sdk-1.13.24.jar
11:36:33.015 [ApplicationImpl pooled thread 19] INFO  c.b.l.BrowserStackRunExtension - Plugin version: v1.1.4
11:55:30.464 [ApplicationImpl pooled thread 37] INFO  c.b.l.BrowserStackRunExtension - testng
11:55:30.465 [ApplicationImpl pooled thread 37] INFO  com.browserstack.utils.Helpers - true
11:55:30.465 [ApplicationImpl pooled thread 37] INFO  com.browserstack.utils.Helpers - /Users/adrianpricopie/.m2/repository/com/browserstack/browserstack-java-sdk/1.13.24/browserstack-java-sdk-1.13.24.jar
11:55:30.465 [ApplicationImpl pooled thread 37] INFO  c.b.l.BrowserStackRunExtension - Agent path: /Users/adrianpricopie/.m2/repository/com/browserstack/browserstack-java-sdk/1.13.24/browserstack-java-sdk-1.13.24.jar
11:55:30.465 [ApplicationImpl pooled thread 37] INFO  c.b.l.BrowserStackRunExtension - Plugin version: v1.1.4
11:58:00.338 [ApplicationImpl pooled thread 29] INFO  c.b.l.BrowserStackRunExtension - testng
11:58:00.339 [ApplicationImpl pooled thread 29] INFO  com.browserstack.utils.Helpers - true
11:58:00.339 [ApplicationImpl pooled thread 29] INFO  com.browserstack.utils.Helpers - /Users/adrianpricopie/.m2/repository/com/browserstack/browserstack-java-sdk/1.13.24/browserstack-java-sdk-1.13.24.jar
11:58:00.339 [ApplicationImpl pooled thread 29] INFO  c.b.l.BrowserStackRunExtension - Agent path: /Users/adrianpricopie/.m2/repository/com/browserstack/browserstack-java-sdk/1.13.24/browserstack-java-sdk-1.13.24.jar
11:58:00.339 [ApplicationImpl pooled thread 29] INFO  c.b.l.BrowserStackRunExtension - Plugin version: v1.1.4
11:59:43.895 [ApplicationImpl pooled thread 41] INFO  c.b.l.BrowserStackRunExtension - testng
11:59:43.895 [ApplicationImpl pooled thread 41] INFO  com.browserstack.utils.Helpers - true
11:59:43.895 [ApplicationImpl pooled thread 41] INFO  com.browserstack.utils.Helpers - /Users/adrianpricopie/.m2/repository/com/browserstack/browserstack-java-sdk/1.13.24/browserstack-java-sdk-1.13.24.jar
11:59:43.895 [ApplicationImpl pooled thread 41] INFO  c.b.l.BrowserStackRunExtension - Agent path: /Users/adrianpricopie/.m2/repository/com/browserstack/browserstack-java-sdk/1.13.24/browserstack-java-sdk-1.13.24.jar
11:59:43.895 [ApplicationImpl pooled thread 41] INFO  c.b.l.BrowserStackRunExtension - Plugin version: v1.1.4
12:11:08.425 [ApplicationImpl pooled thread 46] INFO  c.b.l.BrowserStackRunExtension - testng
12:11:08.425 [ApplicationImpl pooled thread 46] INFO  com.browserstack.utils.Helpers - true
12:11:08.425 [ApplicationImpl pooled thread 46] INFO  com.browserstack.utils.Helpers - /Users/adrianpricopie/.m2/repository/com/browserstack/browserstack-java-sdk/1.13.24/browserstack-java-sdk-1.13.24.jar
12:11:08.425 [ApplicationImpl pooled thread 46] INFO  c.b.l.BrowserStackRunExtension - Agent path: /Users/adrianpricopie/.m2/repository/com/browserstack/browserstack-java-sdk/1.13.24/browserstack-java-sdk-1.13.24.jar
12:11:08.425 [ApplicationImpl pooled thread 46] INFO  c.b.l.BrowserStackRunExtension - Plugin version: v1.1.4
12:13:18.191 [ApplicationImpl pooled thread 7] INFO  c.b.l.BrowserStackRunExtension - testng
12:13:18.192 [ApplicationImpl pooled thread 7] INFO  com.browserstack.utils.Helpers - true
12:13:18.193 [ApplicationImpl pooled thread 7] INFO  com.browserstack.utils.Helpers - /Users/adrianpricopie/.m2/repository/com/browserstack/browserstack-java-sdk/1.13.24/browserstack-java-sdk-1.13.24.jar
12:13:18.193 [ApplicationImpl pooled thread 7] INFO  c.b.l.BrowserStackRunExtension - Agent path: /Users/adrianpricopie/.m2/repository/com/browserstack/browserstack-java-sdk/1.13.24/browserstack-java-sdk-1.13.24.jar
12:13:18.193 [ApplicationImpl pooled thread 7] INFO  c.b.l.BrowserStackRunExtension - Plugin version: v1.1.4
